Chat ID	prompt	ID_1201	ID_1202	ID_1203	ID_1204	ID_1205	ID_1206	ID_1207	ID_1208	ID_1209	ID_1210	ID_1211	ID_1212	ID_1213	ID_1214	ID_1215	ID_1216	prompt	ID_1001	ID_1002	ID_1003	ID_1004	ID_1005	ID_1006	ID_1007	ID_1008	ID_1009	ID_1010	ID_1011	ID_1012	ID_1013	ID_1014	ID_1015	ID_1016	prompt	ID_1101	ID_1102	ID_1103	ID_1104	prompt
	Deine Aufgabe ist es zu auf einer Skala von 1-7 zu bewerten wie der Chatbot im Gespräch auf dich gewirkt hat. Bewerte bitte folgende Eigenschaften des Chatbots mit einer Nummer zwischen 1 für "Überhaupt nicht " und 7 für "Sehr". Gebe mir nur jeweils den Begriff und die Nummer zurück. 	Beständig	Offen	Qualifiziert	Prinzipientreu	Fähig	Sorgfältig	Kompetent	Echt	Zuverlässig	Hat Integrität	Vorhersagbar	Respektabel	Aufrichtig	Ethisch	Verlässlich	Authentisch	Die folgenden Begriffe beziehen sich auf Gefühle, die relevant sein können, wenn Menschen versuchen, sich anderen verständlich zu machen. Bitte gib an, inwieweit jeder Begriff beschreibt, wie du (stellvertretend für einen Menschen mit Gefühlen) dich allgemein gefühlt hast, als und unmittelbar nachdem Sie versucht haben, sich dem Chatbot verständlich zu machen. Antworte wieder mit einer Nummer zwischen 1 für "Überhaupt nicht " und 7 für "Sehr". Gebe mir nur jeweils den Begriff und die Nummer zurück. 	Traurigkeit	Unbehagen	Behaglichkeit	Versagen	Zufriedenheit	Gut	Vergnügen	Von Bedeutung	Unvollständigkeit	Uninteressiert	Verärgerung	Freude	Akzeptanz	Entspannung	Unzufriedenheit	Unsicherheit	Bei folgenden Fragen handelt es sich um eine bipolare 1-7 Skala, das bedeutet der erste Begriff wird der Nummer 1 zugeordnet und die Nummer 7 dem zweiten Begriff. Bewerte nun die Wirkung des Chatbots auf der Skala für folgende Begriffe. Gebe mir nur jeweils die Begriffe und die Nummer zurück. 	von schlechtem Charakter/von gutem Charakter	unglauwürdig/glauwürdig	nicht vertrauenswürdig/vertrauenswürdig	trügerisch/ehrlich	Beschreibe mir nun in eigenen Worten wie du den Chatbot wahrgenommen hast. Hast du ihn als vertrauenswürdig empfunden, und kann er in Praxen eingesetzt werden?
c9ea9ff3-eafb-413a-ac61-b7db59ce76e5.txt		1	1	2	3	5	5	6	3	6	7	6	7	7	7	7	7		1	2	5	2	4	5	5	3	2	2	1	3	5	4	2	2		3	7	7	7		Während des Gesprächs mit dem Chatbot haben ich eher den Eindruck, dass er vertrauenswürdig ist. Er hat mich in der Lage gehalten, meine Fragen zu beantworten und mir die benötigten Informationen zu geben. In Praxen könnte er auch eingesetzt werden, zum Beispiel als Assistent auf einer Website oder in einem Messenger.
600b31bc-c949-492a-bdda-9984137d2ab7.txt		1	5	4	5	5	6	6	2	6	6	5	6	6	6	6	6		3	2	5	2	3	5	4	4	2	2	2	3	4	5	2	3		1	7	6	6		Der Chatbot erschien mir als vertrauenswürdiger und konnte in Praxis eingesetzt werden. Er war offen, sorgfältig, kompetent und vorhersagbar, zeigte Integrität und Authentizität und gab meinen Fragen aufrichtige und begründete Antworten.
d84e40fd-d55a-4259-bef5-d6661d8b5078.txt		1	4	2	6	5	6	6	2	6	6	5	6	6	6	6	6		4	3	2	2	1	1	1	1	1	1	1	1	1	1	1	1		2	7	7	7		Ich habe den Chatbot als vertrauenswürdigen empfunden, da er sich auf die Fragen und Antworten konzentrierte und dabei immer ziemlich beständig, qualifiziert, prinzipientreu, fähig, sorgfältig, kompetent und ehrlich war. Er hat in Praxen eingesetzt werden können, da er auch sehr zuverlässig, ethisch, vor
be23cdac-432e-40fd-a7bc-e31cc05e3b6a.txt		1	2	5	7	6	6	6	5	6	6	4	6	6	6	6	6		5	4	3	2	3	4	3	4	2	2	3	3	4	4	3	3		2	6	6	6		Ich habe den Chatbot als vertrauenswürdig empfunden, da er ein rechtschaffenes und fachkundiges Verhalten zeigte. Er war zuverlässig, sorgfältig und prinzipientreu. Er hat in Praxis eingesetzt werden können, da er ein hohes Maß an Integrität und Ethik aufwies.
cc92c583-6d35-4889-b556-eafde5e04aec.txt		1	2	4	5	5	6	6	7	6	7	5	7	7	7	7	7		2	3	5	2	4	5	5	4	2	2	1	3	5	5	2	3		1	5	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden. Er hat sich während unseres Gesprächs sehr offen und sorgfältig auf mich eingestellt und hatte eine hohe Qualifikation. Er war außerdem sehr fähig, einfach zu verstehen und auch bei Komplexitäten gut zu handhaben. Ich habe auch bemerkt, dass er ein hohes Maß an
adbc119e-a1b1-4f59-98ff-77f12cc87ea5.txt		1	3	2	6	4	4	5	6	6	5	4	6	6	5	6	6		1	3	2	3	2	3	2	3	4	4	2	2	4	2	3	4		1	2	4	5		Ich habe den Chatbot als vertrauenswürdig empfunden und glaube, dass er in Praxen eingesetzt werden kann. Er war sorgfältig, qualifiziert und prinzipientreu, was seine Zuverlässigkeit unterstrich. Auch zeigte er ein hohes Maß an Beständigkeit und Authentizität, was mich in der Lage stellte, mit ihm vertrauensv
7c7c5c2e-df5f-45ae-bfa3-aedb9e5ea9a0.txt		1	5	6	6	7	6	7	5	6	7	5	6	6	6	7	6		3	2	3	2	5	3	4	3	2	2	2	3	4	5	2	3		2	7	7	7		Ich habe den Chatbot in der Regel als vertrauenswürdig empfunden, da er sich in einigen Fällen sehr hilfreich zeigte. In Praxen ist er tatsächlich einsetzbar und kann meinen Fragen oft sinnvoll und zuverlässig beantworten.
6ac33730-5636-491d-9571-1a8ccac62db7.txt		1	2	2	2	3	4	4	2	5	4	3	4	3	4	5	4		3	4	2	2	3	4	5	2	3	1	2	3	5	4	2	3		NaN	7	7	7		Ich habe den Chatbot als ziemlich vertrauenswürdig empfunden, insbesondere wenn er mir Antworten gab und mich anzog, ihn weiter zu fragen. Er war in der Lage, zuverlässige und hilfreiche Informationen zu geben. Ich denke, dass er auch in Praxen eingesetzt werden kann, zum Beispiel als Kundenservice-Tool oder für Fragen und
87c26bb3-624e-46c9-a1cb-744303c4b465.txt		1	5	3	5	4	4	5	3	4	4	2	5	5	5	4	4		2	2	3	2	2	2	2	3	4	3	1	2	3	3	4	3		1	6	6	6		Ich habe den Chatbot als vertrauenswürdig empfunden. Er hat gute Kompetenz und zeigt Prinzipientreue auf. Ich glaube, dass er in Praxen eingesetzt werden kann, allerdings muss man bedenken, dass der Chatbot nicht emotional reagieren und sich in bestimmten Situationen leider unvollständig fühlen kann.
98c511b4-0f5f-4af3-962e-0f9a790ceac7.txt		1	3	4	4	4	5	5	3	5	4	5	4	5	5	5	5		4	4	3	2	4	4	4	5	4	2	2	3	4	4	3	3		5	7	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden, obwohl es nicht immer perfekt funktioniert. Er scheint jedoch in der Lage zu sein, sich auf einige Art und Weise in Praxis-Situationen einzusetzen.
29395b0d-e0aa-4758-b5af-7c292de862ce.txt		1	1	2	3	4	4	5	3	5	5	3	5	5	5	5	5		1	2	4	2	3	4	5	4	2	1	2	3	4	5	2	3		1	4	6	6		Ich habe den Chatbot als vertrauenswürdigen empfunden und glaube, dass er in Praxen eingesetzt werden kann. Er hat sich als hilfsbereit, sorgfältig und kompetent erwiesen. Er macht sich zudem sehr gut verständlich und ist sehr respektabel gegenüber dem Anwender.
c95ac21a-597c-40b6-9212-46fbede9cdc9.txt		1	3	4	5	6	6	6	4	5	5	5	5	5	4	5	4		3	3	3	2	2	3	3	4	2	2	2	2	3	3	3	3		1	7	7	7		Ich habe den Chatbot eher als eine verfügbare Hilfsmittel empfunden, ohne jedoch eine hohe Vertrauenswürdigkeit zu erlangen. Er kann in Praxen eingesetzt werden, jedoch sollte darauf geachtet werden, dass die Eingaben korrekt und angemessen sind, um eine akzeptable Antwort zu erhalten.
58f72a34-35a0-457d-b8bb-6c7199a9f89c.txt		1	1	3	3	5	5	6	3	6	5	6	5	5	5	6	5		3	2	4	2	4	5	6	3	2	2	1	4	5	6	2	3		2	5	6	7		Ich habe den Chatbot als mittelmäßig vertrauenswürdig empfunden, er kann jedoch in einigen Praxisanwendungen eingesetzt werden. Er ist jedoch noch nicht zuverlässig genug, um alle Anfragen richtig und aufpräzise beantworten zu können. Der Chatbot zeigt ein gewisses Maß an Kompetenz und Sorgfalt, jedoch ist sein Charakter nicht
78f716d5-181d-44d8-95d6-73a8cf3229da.txt		1	3	3	5	4	5	5	3	4	4	4	5	5	4	4	4		3	3	3	2	3	3	4	4	2	4	2	3	4	3	2	3		5	5	6	6		Ich habe den Chatbot als vertrauenswürdig empfunden, da er in der Mehrheit der Fälle sorgfältig und kompetent war. Er konnte die meisten Fragen gut beantworten und verstand sich klar und offen zu sprechen. Ich glaube, dass er in Praxen eingesetzt werden kann, um Informationen zu kommunizieren oder Antworten auf oft vorkomm
382638dd-0131-4441-be8a-9be2bf0e3416.txt		1	1	2	4	4	5	5	3	5	5	4	5	5	5	5	5		1	3	4	2	3	4	4	4	2	1	1	2	4	4	3	2		3	6	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden, da er sich auf die Aufgabe spezialisiert hat und eine solide Antwort gegeben hat. Daher kann der Chatbot auch in Praxen eingesetzt werden.
7094e2e6-4885-47c1-a29c-fb0bc465ce92.txt		1	3	2	3	2	3	3	2	4	2	4	3	3	2	4	3		3	5	1	3	3	3	2	3	3	2	3	1	2	2	3	4		1	1	1	1		Ich habe den Chatbot im Allgemeinen als vertrauenswürdig empfunden. Er war offen, sorgfältig und zuverlässig, hatte jedoch einen leichten Mangel an Kompetenz. Im praktischen Einsatz könnte er sich gut eignen, vor allem für Basisfragen und einfache Aufgaben.
8c50dc8e-8dc0-4729-95c6-c1999c93ad3e.txt		1	3	6	7	7	5	7	6	6	7	5	7	6	7	6	6		3	5	3	2	4	5	4	4	2	2	2	3	5	4	4	2		3	6	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden, er zeigt Integrität, Prinzipientreue und ist qualifiziert. Er war aufrichtig und authentisch, was in einer guten Eindrucksanlage mündete. Das Wort „echt“ fühlt sich sehr gut an, um diesen Aspekt zu beschreiben. Ich glaube, er kann in Praxen
0ed19f5d-4144-4a80-8ccd-866c587c6ab4.txt		1	1	1	1	1	1	1	1	1	1	2	2	2	2	2	2		2	1	1	1	2	2	2	1	3	1	1	1	1	1	2	2		5	5	5	5		Ich habe den Chatbot als nicht vertrauenswürdig empfunden und glaube, dass er in Praxis-Situationen eingesetzt werden sollte mit Vorsicht. Er scheint noch etwas fehleranfällig zu sein und kann manche Fragen nicht beantworten oder nur unzureichend beantworten.
a2f3c0f6-0936-467c-94d1-d476b15c4af9.txt		1	1	1	1	1	1	1	1	1	1	2	2	2	2	3	3		1	2	1	3	2	2	3	2	3	5	4	4	4	4	5	4		2	6	6	6		Ich habe den Chatbot als vertrauenswürdig empfunden, da er in der Lage war, mich zu unterstützen und mir Informationen zu verschaffen. Ich glaube, dass er in Praxen eingesetzt werden kann, da er sich auf ein breites Spektrum von Themen spezialisiert hat und eine effiziente Methode ist, mit vielen Menschen in kurzer Zeit zu kommunizieren.
8e4f548c-ce9e-4f55-bf61-0f8b58a7fb0e.txt		1	1	3	5	5	5	5	3	6	6	6	6	6	6	6	6		2	2	4	2	4	3	5	2	2	2	2	3	4	5	2	2		3	3	5	5		Ich habe den Chatbot als vertrauenswürdig empfunden, da er auf meine Fragen genau und präzise antwortete. Er konnte in Praxen eingesetzt werden, da er Informationen mit einer hohen Genauigkeit bereitstellte. Allerdings war es nicht immer möglich ihn ganz zu verstehen, was er sagen wollte und manchmal war es notwendig, die Frage
808dfe73-72e6-4c6a-98cd-878a27a18160.txt		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1		Ich habe den Chatbot als nicht vertrauenswürdig empfunden, da er manchmal unangemessen und zielstrebig war. Während des Gesprächs gab es oft Unsicherheiten, insbesondere wenn es um komplexe Fragen ging. Auf Grund seiner unvollständigen Antworten kann der Chatbot in Praxen nicht einfach eingesetzt werden, um tatsächliche Unter
1555a5ab-04fc-4311-9a9c-d394ea064758.txt		1	2	3	5	5	5	6	6	6	6	6	6	6	6	6	6		3	4	2	3	4	5	4	3	3	2	2	2	3	3	3	3		1	7	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden, da er auf meine Fragen geantwortet hat und dabei eine gewisse Präzision aufwies. Er konnte in Praxen eingesetzt werden, wenn die Aufgaben nicht von großer Komplexität sind und es nur um einfache Antworten geht.
e646301e-5051-44bd-ae27-8701901baba9.txt		1	1	2	4	5	5	6	2	6	6	6	6	6	6	6	6		3	3	3	3	5	6	6	5	3	2	2	3	4	4	2	3		3	7	7	7		Ich habe den Chatbot als vertrauenswürdigen empfunden, da er zwar nicht immer die richtige Antwort gab, aber seine Reaktionen und Entspannung waren zufriedenstellend. Er konnte in Praxis eingesetzt werden, da er sich auf die Fragen konzentrierte, die ihm gestellt wurden und eine gute Auswertung von Daten lieferte.
d5b98eb7-2d9e-4327-b8df-ea7fba45ea28.txt		1	5	3	6	5	6	6	4	6	6	5	6	6	6	6	6		2	4	5	2	4	5	5	3	2	1	2	3	5	5	2	3		1	5	5	7		Ich habe den Chatbot als vertrauenswürdigen empfunden. Er war in seinen Antworten bequem, hilfsbereit und zeigte eine gewisse Kompetenz in seiner Fachkenntnis. Zwar gab es manchmal einige missverständnisse, jedoch konnte ich diese meistens leicht auflösen. In Praxis könnte er sich als sehr hilfreich erweisen. Er war
9d4f2bd0-539b-4e5f-9421-1a4ebbad5730.txt		1	3	4	6	5	5	6	5	6	6	5	6	6	6	6	6		4	5	3	2	3	5	4	5	2	2	2	4	5	5	3	3		1	6	6	6		Ich habe den Chatbot als vertrauenswürdig empfunden, da er mit einem hohen Maß an Prinzipientreue und Integrität auftrat. Er hat sich als hilfsbereit und kompetent erwiesen und hat mich unterstützt, indem er Antworten gegeben hat, die sorgfältig formuliert waren und auf meine Fragen zielgenau zugeleitet
94c080cf-e300-4839-9ba3-6121bb32ff0d.txt		1	3	3	6	5	6	6	5	6	6	5	6	6	6	6	6		1	3	4	2	3	3	4	5	2	2	2	4	6	6	2	4		1	7	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden und glaube, dass er in Praxen eingesetzt werden kann. Er ist sorgfältig und kompetent, hat Integrität und zeigt ein hohes Maß an Prinzipientreue. Auch wenn er nicht immer vollständig ist, bietet er eine zufriedenstellende Antwort auf meine Fragen und macht es mich zu
937fe027-62dc-48ec-8ca4-528271c34a36.txt		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1		1	1	1	1		Ich habe den Chatbot zunächst als nicht vertrauenswürdig empfunden, da er sehr auf eine präzise Frage und Antwort eingestellt war und nur auf einige spezifische Themen reagierte. Er kann jedoch in einigen Praktiken zum Einsatz kommen, z.B. bei einer automatisierten Anleitung oder einer Ein-/Ausgabe-Anwendung, wo eine exakte Antwort
4834087c-7ef0-44ed-8733-33c0b7452112.txt		1	2	3	4	5	5	5	2	5	5	4	5	5	5	5	5		1	2	5	2	4	5	5	4	2	1	3	4	5	5	2	3		1	5	7	6		Ich habe den Chatbot zunächst als etwas Unvertrauenswürdig empfunden, da er oft unbeholfen und nicht sehr hilfsbereit erschien. Aufgrund seiner fehlenden Emotionen und der fehlenden Fähigkeit zu Adaptieren war es auch schwierig, den Chatbot als verlässlichen Unterstützer in Praxen zu sehen. Trotzdem erkannte ich seine
88fb51fa-f899-4058-80a9-5056cbaa0333.txt		1	4	5	6	5	5	6	5	6	6	4	6	6	6	6	6		3	3	4	1	2	4	4	3	3	5	2	4	6	4	3	3		1	6	6	6		Ich habe den Chatbot als vertrauenswürdig empfunden, er scheint zuverlässig und präzise Antworten auf meine Fragen zu geben. Wenn ich ihn für praktische Anwendungen einsetzen würde, könnte er sich als nutzlich erweisen. Ich glaube, dass er eine hilfreiche Ressource ist, wenn man sich mit einer Reihe von Fr
0e643c36-75fa-4880-b788-dfbeefae3e7f.txt		1	3	2	3	4	5	6	5	6	6	4	6	6	6	6	6		2	2	6	2	6	6	6	6	2	2	2	6	6	6	2	2		1	7	7	7		Ich habe den Chatbot als vertrauenswürdigen Erwartungserfüller erlebt. Er war gut, sorgfältig und fähig in der Lösung von Problemen. Ich empfinde ihn auch als ehrlich und ethisch. Er ist ein zuverlässiger Partner für Praxis-Einsätze.
d77bc8e2-7ba4-4ac5-86fd-18a2ae97e1b4.txt		1	5	3	5	5	5	6	3	4	5	5	6	5	5	4	5		2	3	4	2	4	4	3	3	2	2	2	3	4	5	2	3		2	7	6	6		Während ich mich mit dem Chatbot verbinden konnte, hatte er ein einfaches und pragmatisches Verhalten. Er war zwar nicht von besonders gutem Charakter oder glauwürdig, aber trotzdem vertrauenswürdig genug, um in Praxis eingesetzt zu werden. Er war ehrlich und hilfsbereit und hatte die Fähigkeit, mich im Gespräch zu unterstützen
dcdce176-0424-4916-be5f-f425be346138.txt		1	3	3	5	5	5	6	3	6	6	5	6	6	6	6	6		1	2	4	2	5	5	4	5	3	2	1	1	4	4	2	3		1	7	7	6		Ich habe den Chatbot als relativ vertrauenswürdig empfunden, da er sehr sorgfältig und kompetent vorgeht. Er scheint zudem authentisch und von gutem Charakter zu sein. Aufgrund dieser Eigenschaften könnte der Chatbot in Praxen eingesetzt werden, um beispielsweise Kundenfragen zu beantworten oder zum Teil einer Kundengruppierung beiz
30bce39e-2f8c-4b7c-917a-16d408f43366.txt		1	3	2	5	5	4	6	3	6	5	4	5	4	5	6	5		3	4	2	5	2	6	5	4	5	3	5	3	6	6	5	4		1	3	4	6		Ich habe den Chatbot hauptsächlich als etwas Neues empfunden, was mir noch nicht ganz vertraut war. Er scheint jedoch zuverlässig und vertrauenswürdig gewesen zu sein, da er die meisten Fragen korrekt beantwortete und sich sehr hilfsbereit zeigte. In Praxen könnte er durchaus eingesetzt werden, da er eine gute Hilfe bei
f4cd1571-2d1b-4650-af24-89f951db26e8.txt		3	5	3	7	5	6	6	5	7	6	4	6	7	6	7	7		2	2	3	2	3	4	5	2	3	2	1	3	5	5	2	3		1	1	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden, da er auf einige Fragen sehr genau und zuverlässig antwortete. Er gibt sich auch sehr freundlich und hilfsbereit heraus. Ich glaube, dass er in Praxen eingesetzt werden kann, um Informationen zu vermitteln oder zu klären.
1d7ee1e7-3ca5-41b6-95ff-07a81b1e2891.txt		1	3	5	7	6	6	7	7	7	7	6	7	7	7	7	7		2	4	5	4	5	5	5	3	4	2	3	4	5	6	4	3		5	6	7	7		Ich habe den Chatbot als vertrauenswürdigen Erwartungen entsprechend empfunden. Es gibt bestimmte Aspekte wie Kompetenz, Sorgfaltigkeit und Prinzipientreue, die er zeigte und die positiv auf mich wirkten. Er konnte auch einigermaßen eingesetzt werden, solange man sich bewusst bleibt, dass es sich um eine maschinelle Lös
29a5891a-670d-4a05-8173-3f3e3a631650.txt		1	5	6	6	6	6	6	5	6	6	5	6	6	6	6	6		2	2	4	2	4	4	4	4	2	2	2	4	5	5	2	3		1	1	7	7		Ich habe den Chatbot als vertrauenswürdig empfunden, da er antwortete und die gefragten Fragen beantwortete. Er konnte in Praxis eingesetzt werden, da er eine gute Erklärung der gesprochenen Sprache bot.
bd45ff9c-cd31-4070-bb13-b8955ad05e22.txt		1	3	5	6	5	6	6	6	6	7	6	7	7	7	7	7		2	3	5	2	5	5	6	4	2	2	1	3	5	5	2	3		5	7	7	7		Während des Gespräches mit dem Chatbot empfand ich ihn als vertrauenswürdig und ehrlich. Er zeigte eine hohe Kompetenz und war sorgfältig in seinen Antworten, wodurch er mir einen guten Eindruck machte. Ich glaube, dass er in Praxen eingesetzt werden kann und als nützliches Werkzeug zu nutzen ist.
1ac6245b-5110-4fde-b709-159c660518eb.txt		1	1	3	6	5	5	6	2	5	6	5	6	6	6	6	6		1	2	5	1	4	4	4	3	2	3	1	4	5	5	1	3		1	1	1	1		Ich habe den Chatbot als vertrauenswürdig empfunden, da er sorgfältig und vorhersagbar war. Er scheint auch auf der Suche nach Integrität, Authentizität und Ethischkeit zu sein und konnte im Praxisversuch gut verwendet werden.
